,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,강남,남부터미널역,스시금강(서초),"45,000","80,000",병당 2만,02-586-7001,일월 휴무,,,,,,서울 서초구 효령로 307 ,,,,,,,,,,,,,테이블 다수,,,
,,강남,신사역,스시츠바사,"45,000","95,000",병당 2 / 4,070-4248-9198,무휴,문의(협소),,전 스시요인자리 / 디너 솥밥 제공,점심2부/디너1부,"캐치테이블, 문자",서울 강남구 강남대로156길 31-4 1층,https://www.instagram.com/sushi_tsubasa,,,,,,翼,날개,심우석,스시려,산토리병맥 0.7,2인,-,9,2020.6,ㅇ
,,강남,강남구청역,카메스시,"45,000","100,000",병당 2만,010-3688-8322,일 휴무,발렛파킹,,,런치2부/디너1부,네이버 / 캐치테이블,서울 강남구 선릉로121길 7,http://instagram.com/kamesushi,,,,,,亀,거북이,고동중,스시효,에비스생 1.2,2인,-,12,2017.8,ㅇ
,,강남,삼성역,와려,"45,000",-,병당 3.5,02-508-2648,일 휴무,발렛파킹,,점심에만 스시오마카세 운영,,통화,서울 강남구 테헤란로98길 28 2층 2호,-,,,,,,蝸廬,달팽이집,,,,,,,,-
,,강남,교대역,스시진수,"50,000","80,000",병당 2 / 3 (조건부FREE),02-535-7100,무휴,가능,,포잉 프로모션중(런치2부할인),런치2부/디너2부,포잉(런치2부만) / 통화,서울 서초구 서초중앙로24길 27 센트럴프라자,https://www.instagram.com/sushijinsu.official/,,,,,,眞水,,박비봉,스시코우지,,-,룸 3,12,2017.6.22,-
,,강남,선정릉역,스시키,"45,000","90,000",병당 2 / 3,02-539-2008,일 휴무,가능,,,시간예약,캐치테이블,서울 강남구 선릉로107길 3-4 운경빌딩,-,,,,,,き,,한완희,스시쇼우키,,,,,,-
,,강남,서초역,스시소라 서초,"45,000","70,000",병당 3만,02-522-4500,무휴,가능,,코우지 서브브랜드,런치2부/디너2부,캐치테이블,서울 서초구 서초대로 254 오퓨런스빌딩 104호,https://www.instagram.com/sushisorabykoji/,,,,,,そら [空],하늘,정우영,"코우지, 소라마포",,-,-,10?,2020.1,-
,,강남,교대역,스시카네,"66,000","100,000",FREE,02-594-9955,일 휴무,가능,,가네끼 세컨드,시간예약제,통화,서울 서초구 서초중앙로26길 6 린빌딩,https://www.instagram.com/kanekisushi,,,,,,金,,손정준,가네끼,소주 0.5 / 에비스생 1.2,,ㅇ,7?,2019.1,-
,,강남,포스코사거리,스시소라 대치,"50,000","80,000",병당 3만,02-567-8200,무휴,가능,,코우지 서브브랜드,런치2부/디너2부," 포잉(일부좌석), 통화",서울 강남구 대치동 894,https://www.instagram.com/sushisorabykoji/,,,,,,そら [空],하늘,김준호,,산토리생 1.2 / 기린병 0.8,-,룸,,2017.6,-
,,강남,매봉역,스시카와,"50,000","70,000",병당 3만,02-573-0538,일 휴무,발렛파킹,,//,,,서울 강남구 논현로26길 29,-,,,,,,かわ,,,,,,,,,ㅇ
,,강남,강남역,스시산원 청,"50,000","80,000",병당 2만,02-538-5550,무휴,가능,,스시산원 서브브랜드,런치2부/디너2부,통화,서울 강남구 논현로85길 52 역삼푸르지오시티 2층 205-1호,-,,,,,,山園 靑,,,,,-,,,2016.9,-
,,강남,매봉역,스시강지문,"60,000","100,000",병당 2 / 4,02-573-2017,월 휴무,"문의(협소,2자리?)",,전 스시몬,런치2부/디너1부,통화,서울 강남구 논현로30길 52,-,,,,,,-,쉐프성함,강지문,일본 스시야,소주 1만 / 산토리생 1.2,ㅇ,-,7,2013.9.23,-
,,강남,역삼역,스시쇼우키,"50,000","100,000",병당 3만,02-333-3355,일 휴무,가능(4대),,,,통화,서울 강남구 언주로93길 22-5 도영빌딩 1층,https://www.instagram.com/sushi_shouki/,,,,,,しょうき,맨정신,엄승희,,,,,,2015.5,ㅇ
,,강남,교대역,스시윤슬,"55,000","120,000",병당 2만 / 3만,010-6707-5058,일 휴무,건물뒷편 주차타워,구정이후 인상예정,,런치2부/디너1부,통화 / 문자,서울 서초구 서초대로 266 B101호,https://www.instagram.com/jinwoo.joo.9/,,,,,,,아이이름,주진우,"스시산, 타카라,산원청, 스시유리",,ㅇ,-,8?,2020.8.20,-
,,강남,삼성역,스시욘즈,"50,000","100,000",병당 2만 / 5만,010-5225-6210,무휴,,,로바다유리 자리에 오픈,,통화,서울 강남구 삼성로96길 11 1층,https://www.instagram.com/sushi_yz/,,,,,,四十,40,전창우,유키즈시,,,,,2020.11,-
,,강남,서래마을,스시쇼우,"50,000","120,000",병당 3만,02-595-4510,일 휴무,발렛파킹,,,런치2부/디너시간예약,통화,서울 서초구 사평대로22길 17 2층,-,,,,,,晶,맑다,호정욱,"스시고, 스시이끼",,,룸 2개,8,2018.9,-
,,강남,서래마을,스시고,"50,000","120,000",,02-595-4700,명절 외 무휴,발렛파킹(3000원),,,,통화,서울 서초구 사평대로22길 15,-,,,,,,,,,,삿토리생 1.2,,,,,-
,,강남,신사역,김수사,"50,000","70,000",FREE,02-542-5235,무휴,발렛가능,특사시미코스  9만,스시코스 / 사시미코스 中 선택,,전화예약,서울 강남구 도산대로 132 해정빌딩,-,,,,,,金寿司,김수사,정재윤,정행성 사장님 2대,,-,테이블 및 룸,6,1986,-
,,강남,가로수길,스시오마주,"55,000","110,000",병당 2만/4만,02-515-1836,매주월+격주화,,,,,캐치테이블,서울 강남구 강남대로152길 67 지하1층 102호,https://www.instagram.com/sushi_omazu/,,,,,,omazu,오마주하다,양자민,"스시시미즈 , 스시우미",,,,14,2020.12,-
,,강남,삼성역,유키즈시,"60,000","130,000",병당 3만,02-501-6833,일 휴무,가능,,중앙해장 세컨샵,런치2부/디너시간예약,통화,서울 강남구 영동대로86길 17 육인빌딩 지하 1층,-,,,,,,ゆきすし,눈 초밥,박상호,"스시코우지, 스시시오",,,,,2020.1,-
,,강남,논현역,구루메스시,"60,000","90,000",병당 2만/3만/4만,02-517-0709,일 휴무,,,,런치2부/디너2부,네이버,서울 강남구 학동로4길 15 116호,-,,,,,,グルメ,구루메,이용수,슈치쿠,,,,12,,ㅇ
,,강남,강남역,스시려 프리미엄,"60,000","120,000",병당 3만,02-525-0900,무휴,가능,,제주 자연산위주 네타구성,런치2부/디너1부,통화,서울 서초구 효령로77길 34 아크로텔 2층 206호,-,,,,,,廬premium,려의 상위업장,손재웅,리츠칼튼,,,,,2017.4.29,-
,,강남,강남구청역,스시나미키,"60,000","150,000",병당 3만,02-6368-7953,일 휴무,가능,,,,,서울 강남구 학동로 338 강남파라곤 S동 103호 1F,https://www.instagram.com/sushinamiki/,,,,,,並木,가로수,임상록,"스시조, 스시초희",,,,,,ㅇ
,,강남,신반포역,스시타노,"60,000","120,000",,02-593-1600,무휴,발렛파킹,,,,캐치테이블,서울 서초구 서래로5길 30 2층,https://www.instagram.com/sushitano/,,,,,,楽,즐겁다,배유진,,,,테이블2 룸 2,12,2014.11?,-
,,강남,신사동,스시호우시절,"60,000","140,000",병당 3만,02-511-9895,일 휴무,발렛가능,,,,,서울 강남구 도산대로27길 16 효정빌딩,-,,,,,,好雨時節,알맞은때내리는비,박병기,츠지요리학교 카도야,,,,,,-
,,강남,삼성역,스시유,6.8 / 8.8,9.8 / 14.5,병당 3만,02-553-7870,무휴,문의(협소),,,,캐치테이블,서울 강남구 영동대로 407 코니빌딩,-,,,,,,雄,수컷,노승구,,,,,,,-
,,강남,선릉역,스시산원,"80,000","150,000",병당 2 / 3,02-557-5656,일 휴무,가능,,,런치2부/디너1부,통화,서울 강남구 선릉로100길 42 LG선릉에클라트 A동 1층 1호,-,,,,,,山園,,마준형,세야,,,룸,8,2014.1,-
,,강남,교대역,스시카루,"70,000","100,000",병당 2만,010-7116-3223,일 휴무,문의,도화새우 입고시 +1만,아리아께 STYLE',,문자예약,서울 서초구 서초대로 275 중앙빌딩 지하1층 105호,https://blog.naver.com/jy851017,,,,,,かる,,장진영,스시정미,소주 1만 / 산토리생 1.2,,,,2016.6.29,ㅇ
,,강남,강남역,스시효 서초,"75,000","140,000",,02-521-3593,일 휴무,가능,,,,통화,서울 서초구 서초동 1327,-,,,,,,孝,,안효주,미스터초밥왕 추천사,,-,룸,,,-
,,강남,서래마을,스시만,"100,000","180,000",런치3/디너5,02-533-0181,무휴,발렛파킹,,미쉐린 빕구르망,,네이버,서울 서초구 동광로27길 3 1층,https://www.instagram.com/sushiman_seoul/,,,,,,萬,만,김정기,스시선수,,,"테이블,프라이빗룸",12,,ㅇ
,,강남,삼성역,스시유리,"80,000","130,000",병당 3 / 5,010-3132-6210,일 휴무,발렛파킹,,포장운영,런치2부/디너2부,통화,서울 강남구 테헤란로83길 36 2층,http://instagram.com/sushiyuri.official,,,,,,百合,백합,손승연,스시산원,,,프라이빗룸,,2019.1,-
,,강남,삼성역,스시치우,"110,000","220,000",5만 / 7만,02-552-8857,화 휴무,,,쿠루미계열,런치1부(주말2부)/디너1부,,서울 강남구 테헤란로 510 루첸타워 지하1층,https://www.instagram.com/sushichiwoo,,,,,,,,,,,,,,,
,,강남,서래마을,스시우토,"90,000","180,000",,02-599-5997,월 휴무,,,쿠루미계열,,캐치테이블,서울 서초구 동광로 93 3F,,,,,,,,,최상훈,,,,,,,
,,강남,반포,타마유라,"120,000","180,000",,02-6282-6752,무휴,가능,,,,통화,서울 서초구 신반포로 176 JW 메리어트 호텔 서울 2층,,,,,,,,,,,,,,,,
,,강남,반포,타쿠미곤,"150,000","260,000",병당 5만,02-595-1935,무휴?,가능(발렛X),프라이빗룸 +3만,숙성스시,주말 런치 2부,통화,서울 서초구 사평대로18길 10 한국회관 2층,-,,,,,,匠]權,장인+권(쉐프성),권오준,스시만,,,라이브룸,,2017.5,-
,,범사당권,내방역,스시유메,"38,000","80,000",병당 2만(잔X),010-4997-6611,월 휴무,근방 공용주차장(유료),,네이버 검색시 '방배 스시유메',런치2부/디너1부,통화,서울 서초구 동광로 65,-,,,,,,夢,꿈,,기꾸출신/한국계중국인,소주X,,,7,2019.12,-
,,범사당권,사당역,키세츠스시,"48,000","65,000",병당 2만,02-584-6667,일 휴무,불가,,,점심2부/디너2부,,서울 서초구 방배천로4안길 18 1층,,,,,,,きせつ,계절,,,,,,,,ㅇ
,,범사당권,이수역,스시이로하,"50,000","50,000",병당 1.5 / 3,02-535-3061,일 휴무,가능,,스시가 아닌 '사시미오마카세',,통화,서울 서초구 서초대로 3-4 방배디오슈페리움1,https://www.instagram.com/lrohasushi/,,,,,,いろは,기초?(ABC정도),,,소주 0.5 /병맥 0.5,,,,,ㅇ
,,범사당권,방배동,기꾸,"60,000","70,000",와인3 / 위스키5,02-525-6530‬,월 휴무,가능,오마카세 13,한국Style 스시야노포? 20년전통,런치2부/디너2부,,서울 서초구 동광로1길 112 104호,,,,,,,菊,국화,김영국,,소주 1.3 / 삿뽀로생 1.2,,,12,2017.10 이전,-
,,범사당권,이수역,스시코에,-,"100,000",사케 3만/위스키5만,010-4134-8466,일 휴무,가능(유료),,단골위주 운영,디너1부만 운영,"전화, 문자예약(매월1일)",서울 서초구 서초대로 17 방배대우디오빌 1층 110호,https://www.instagram.com/sushi_koe/,,,,,,こえ,목소리,안유만,"스시시로, 스시이마",,ㅇ,,8,2018.5,ㅇ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,청담,청담동,스시츠바키,"55,000","88,000",병당 3만,02-545-9149,일 휴무,발렛파킹,,고료리켄자리,,,서울 강남구 언주로174길 30,,,,,,,つばき,동백나무,윤석환,"스시초희, 이노시시",삿뽀로생 1만,,,,,-
,,청담,청담동,스시세이,"50,000","80,000",,02-518-4646,일 휴무,발렛파킹,,,,,서울 강남구 선릉로145길 12 1층,,,,,,,生,삶,,,,,,,,ㅇ
,,청담,청담동,스시사카우,"50,000","88,000",병당 2만,010-9394-2554,월 휴무,발렛가능,,접객맛집,런치2부/디너2부,통화 / 문자,서울 강남구 언주로153길 10-6 지하 1층,https://www.instagram.com/sushi_sakau/,,,,,,さかう,생선이마싯다,유종태/김병재,"마츠모토, 쇼우키",,2인,x,9,2019.8,-
,,청담,청담동,스시카나,"55,000","88,000",병당 3만,02-6407-4060,일 휴무,가능,,,,네이버,서울 강남구 신사동 583-3,https://www.instagram.com/sushi_kana/,,,,,,かな,,김다운,스시요인,소주 1만  / 병맥,,6석 다찌룸,10,,ㅇ
,,청담,청담동,스시카나에,"65,000","130,000",병당 2만,02-516-3350,일 휴무,발렛파킹,,숙성스시,,,서울 강남구 도산대로75길 15 노노빌딩 2F,,,,,,,鼎,솥,김장환,타쿠미곤,,,,9,,-
,,청담,청담동,스시유키,"60,000","150,000",병당 3 / 6,02-3444-2534,무휴,발렛파킹,,,런치2부/디너2부,,서울 강남구 논현로164길 25,https://www.instagram.com/sushi_yuki160118,,,,,,雪,눈,이종기,,,,,,,-
,,청담,청담동,스시에비스,"60,000","110,000",병당 3만,02-6012-0045,무휴,가능,사시미코스 14만,단체석,,통화,서울 서초구 효령로77길 34 아크로텔 2층 206호,-,,,,,,えびす,칠복신 에비스,채경식,슈치쿠,,,테이블2,8,,ㅇ
,,청담,청담동,스시효 청담,"65,000","145,000",,02-545-0023,무휴?,발렛파킹(2천원),,,,,서울 강남구 선릉로146길 25 유현빌딩,-,,,,,,孝,,안효주,,,,,,,-
,,청담,청담동,젠또요요,"70,000","130,000",1팀당 3만,02-543-7508,일 휴무,,,,,통화,서울 강남구 선릉로152길 5 2층,http://zentoyoyo.visitus.co.kr/,,,,,,前途洋洋,전도양양,,,,,,,,-
,,청담,청담동,스시유겐,"70,000","140,000",,02-572-4000,월 휴무,발렛파킹(3천원),,,,,서울 강남구 논현로159길 11,,,,,,,幽玄,우아하고깊은맛,김욱진,산원 청,,,,,2021.6.15,
,,청담,청담동,스시류코,"70,000","150,000",병당 3만 / 5만,02-543-7477,일 휴무,가능,,"갓포네기서 런칭 / 前 노아,마리위치",,네이버,서울 강남구 신사동 652-11,-,,,,,,-,쉐프성함합성,류명렬,갓포네기,,,라이브스시룸,,2018.8,ㅇ
,,청담,청담동,스시타,"75,000","150,000",,02-545-6062,,,,자가제면 소바,,,서울 강남구 삼성로119길 8,https://www.instagram.com/sushita_oh/,,,,,,,,,잠실 스시오,,,,,2020.11,-
,,청담,청담동,스시이타루,"80,000","150,000",병당 3만,02-548-5048,일 휴무,,,예전 사잔카(일식다이닝) 자리에 오픈,,"DM, 전화예약",서울 강남구 언주로174길 22 1층,https://www.instagram.com/sushi_itaru/,,,,,,いたる,도달하다,김주백,"분스야, 타쿠미곤",,,,9,2020.12,-
,,청담,청담동,스시코테이,"80,000","140,000",병당 3만,010-9907-8418,일 휴무,가능,,참치에 강점,,에그다이닝(앱),서울 강남구 압구정로34길 11 압구정스퀘어 B104호,https://www.instagram.com/sushikotei_apgujeong/,,,,,,,압구정,정지영,"일본, 하쯔호",,,,,2020.9,ㅇ
,,청담,청담동,스시산코우,"80,000","180,000",병당 5만,02-548-8886,무휴,가능,,,,,서울 강남구 선릉로148길 28 2층,https://www.instagram.com/sushisankowoo,,,,,,三光,해달별,김건호,"스시스미레, 스시상현",,,,,,
,,청담,청담동,스시시미즈,"88,000","185,000",병당 3 / 5,02-543-0887,일 휴무,발렛파킹,,사케 도쿠리 판매,,통화,서울 강남구 언주로152길 11-3 B1,-,,,,,,清水,맑은물,이광열,마츠모토,,,,8,2017.7,-
,,청담,청담동,스시이토,"88,000","198,000",병당 5만,02-543-2425,화 휴무,발렛파킹,,간판없는집,,통화,서울 강남구 선릉로153길 22,https://www.instagram.com/ss_ito4/,,,,,,糸,"실, 인연",김성복,"스시코우지, 선릉 스시소라",,,,,2018.12,-
,,청담,청담동,스시장종현,"90,000","180,000",와인2 사케3,02-517-0805,일 휴무,발렛파킹(3천원),,,,통화,서울 강남구 도산대로85길 13,https://www.instagram.com/sushi_jangjonghyun/,,,,,,-,쉐프성함,장종현,스시효,,,닷찌룸,,2019.12,-
,,청담,청담동,스시카이세이,"100,000","200,000",병당 3만,02-515-2700,월 휴무,발렛파킹,,코우지그룹,주말런치2부제,"통화, 포잉(일부좌석)",서울 강남구 신사동 635-7,-,,,,,,快晴,맑다,전상윤,"스시코우지, 광화문 스시소라",월 콜키지프리,,,,2019.6,-
,,청담,청담동,스시코마츠,"90,000","180,000",병당 5만,02-515-1177,무휴,발렛파킹,,,,통화,서울 강남구 언주로165길 7-10,-,,,,,,小松,작은소나무,이진우,,,,,,2015.6,-
,,청담,청담동,스시레이와,"120,000","120,000",병당 2만,010-2052-1844,일 휴무,가능(문의),,,런치1부/디너2부,통화,서울 강남구 언주로147길 18 영동빌딩 1층,https://www.instagram.com/sushi__reiwa,,,,,,麗和,,양훈,"하나미치, 노아",,,,5,2019.4,-
,,청담,청담동,스시스미레,"100,000","200,000",병당  5 / 10,02-547-8807,명절 휴무,발렛파킹,,,,캐치테이블,서울 강남구 청담동 88-6,-,,,,,,菫,제비꽃,이성준,"요이치, 타쿠,기요세등",,,,,2019.10,-
,,청담,청담동,스시모토이,"100,000","200,000",병당 3만,010-5556-5401,일 휴무,발렛파킹,,참치 드라이에이징 숙성,런치1부/디너1부,통화,"서울 강남구 청담동20-2, 2층",https://www.instagram.com/sushi_motoi/,,,,,,,,,,,,,,2020.1,ㅇ
,,청담,청담동,스시기요이,"100,000","200,000",,02-512-8678,일 휴무,발렛파킹,,전 텐쇼자리,,통화,서울 강남구 언주로152길 15-6 3층,https://www.instagram.com/kiyoi_sushi_/,,,,,,清,맑다,이승현,"아리아께, 스시효",,,,6,2020.4,-
,,청담,청담동,사토시,"100,000","200,000",병당 5만,010-4810-0553,무휴?,,,,,캐치테이블,서울 강남구 언주로170길 27 2층,,,,,,,,,,,,,,,,
,,청담,청담동,스시전 청담,"100,000","210,000",,02-3445-7767,월 휴무,,,1타임 1팀씩으로 운영,,통화,서울 강남구 압구정로71길 4 1층,,,,,,,田,오너분 성,정영진,,,,,,2020.9,-
,,청담,청담동,스시마이,"110,000","230,000",병당 5만,02-6925-3126,일 휴무,발렛파킹,,6인이상 대관가능,,통화,서울 강남구 언주로168길 6 2층,-,,,,,,舞,춤,유오균,아리아께 16년,,,,6,,-
,,청담,청담동,스시기요세,"120,000","230,000",병당 5만,02-511-2585,일 휴무,발렛파킹,,,,네이버 / 캐치테이블,서울 강남구 압구정로46길 73 2층,-,,,,,,淸瀨,맑은여울,김제헌,스시초희,,,,,2017.4,-
,,청담,청담동,스시결,"120,000","240,000",,02-518-5266,일+격주월 휴무,,,,,캐치테이블,서울 강남구 언주로168길 16,,,,,,,,,최정회,,,,,,2021.5.31,
,,청담,청담동,스시아오타,"130,000","260,000",조건부 FREE,02-511-7934,일 휴무,발렛파킹,,,,통화,서울 강남구 선릉로145길 5-12 1층 101호,https://www.instagram.com/taesik.shin.88/,,,,,,靑田,,신태식,"타쿠, 타츠",,,,8,2019.1,-
,,청담,청담동,스시선수,"110,000","230,000",병당 5 / 10,02-514-0812,무휴,가능(발렛X),,,,통화,서울 강남구 도산대로45길 6 호림아트센터 2빌딩,https://www.instagram.com/sushi_sunsoo/,,,,,,善水,,최지훈,"아리아케,스시초희",,,,12,2012.1,-
,,청담,청담동,스시코우지,"120,000","230,000",병당 5만,02-541-6200,무휴,발렛파킹,,코우지그룹,,통화,서울 강남구 청담동 1-1,https://www.instagram.com/sushikoji.official/,,,,,,코우지,쉐프성함,코우지,"슈치쿠, 도쿄 칸다",,,,,2014.5,-
,,청담,청담동,스시타츠,"120,000","250,000",병당 5만,02-514-3336,일 휴무,발렛파킹(3천),,요아케와 자매업장,,통화,서울 강남구 도산대로28길 18,-,,,,,,竜,용,정수용,,,,,,2011.11,-
,,청담,청담동,스시쿠루미,"121,000","275,000",병당 5 / 10,02-545-2030,명절 휴무,발렛파킹,,"이토,스미레계열",,통화,서울 강남구 선릉로146길 33,-,,,,,,胡桃,호두,,,,,,11,2018.4,-
,,청담,청담동,스시마츠모토,"130,000","250,000",병당 3만,02-543-4334,무휴,발렛파킹(3천),,,,매일 1일 전화에약,서울 강남구 도산대로75길 5 102호,-,,,,,,まつもと,셰프성함,마츠모토 미즈호,"큐베이, 스시조",하이볼 판매,,,8,,-
,,청담,청담동,스시요아케,"150,000","290,000",병당 5 / 10,010-8809-2344,무휴,발렛파킹,,타츠에서 런칭,,통화,서울 강남구 도산대로45길 10-11,,,,,,,夜明け,새벽,후미야/이대성,,,,,10,2018.12,-
,,청담,청담동,스시하네,"150,000","300,000",병당 10만,010-9773-0887,"일/2,4 월 휴무",발렛파킹,,,,,서울 강남 언주로 172길 14 1층(네이버등록 X),,,,,,,羽,날개,최주용,"스시초희, 스시가네끼",생맥 2만,,,,2020.12,-
,,청담,청담동,더나인클럽,"150,000","300,000",병당 5만?,02-6959-0941,월 휴무,발렛파킹,,,,,서울 강남구 선릉로146길 33,https://www.instagram.com/the_9club/,,,,,,,,,,,,,,,
,,청담,청담동,스시상현,"150,000","330,000",,※ 특이사항 참조,,,대관 6인 200만,예약시 스시쿠루미로 통화예약,,쿠루미에 전화해서 스시상현으로 예약,,,,,,,,,셰프님성함,임상현,,,,,6,2020.8,-
,,청담,청담동,스시인,"160,000","270,000",병당 7만,02-543-7636,일 휴무,발렛파킹,,신규예약불가,,다음생에 가능,서울 강남구 압구정로42길 49,-,,,,,,人,사람,이진욱,"마츠모토, 스시조",산토리생,,,,2016.4,-
,,청담,청담동,스시코지마,"200,000","380,000",20만,02-2056-1291,매주일/격주월,발렛파킹,,미슐랭2스타 / '모박송이'의 박,,통화,서울 강남구 압구정로60길 21 분더샵 6층,-,,,,,,小島,작은섬,박경재,"아리아께, 스시초희",,,,,2014.10.31,-
,,청담,청담동,조리인,-,"90,000",FREE,02-517-3355,명절 휴무,,사시미코스 12,,,통화,서울 강남구 도산대로53길 16 3층,-,,,,,,,,이혁진,,,,,,,-
,,청담,청담동,스시카이신,-,"275,000",,02-515-9855,월 3회휴무,발렛파킹,,,,통화,서울 강남구 도산대로100길 12 우리빌딩 2층,,,,,,,海信,,사토 코우스케,스시잇큐,,,,,2017.2,ㅇ
,,청담,청담동,어성일식,4 / 주말 4.5,"110,000",FREE,02-3442-6686,무휴,발렛가능,,무한리필 컨셉(디너한정),,통화,서울 강남구 언주로 843 2층,https://www.instagram.com/eo.sung,,,,,,魚成,,,,사케무제한 인당 2만 / 소주 1만,-,,,2019.3.27,-
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,여의도,여의도역,아루히,"33,000","35,000",병당 2만,02-780-3903,무휴,가능(비추천),,디너 주류필수 / 1달치씩 예약,런치2부/디너시간예약,네이버(매월 20일 PM 5),서울 영등포구 여의나루로 42 2층,http://www.instagram.com/aruhi_manura,,,,,,ある日,어느날,이용,,소주0.5 / 산토리병 0.8,ㅇ(보조셰프1),-,12,2019.3,-
,,여의도,여의도역,스시미소,"45,000","80,000",작은병2/위스키&큰병4,010-8853-7734,무휴,가능,,예전 이노찌자리,런치2부/디너1부,네이버 / 통화 / 문자,서울 영등포구 국회대로74길 20 지하1층,https://www.instagram.com/sushi_miso16,,,,,,微笑,소리없이웃음,임명현,스시혜정,소주X / 산토리생 10.0,,,9,2020.2,ㅇ
,,여의도,여의도역,스시젠,"45,000","67,000",FREE,02-784-7789,일 휴무,가능,디너 사시미코스 8만,런치 11시 30분 스타트가능,런치2부/디너2부,네이버,서울 영등포구 의사당대로 127 지하 11호,https://www.instagram.com/jdg0114korea/,,,,,,善,착함/올바름,,,,,,,2020.4.21,ㅇ
,,여의도,여의도역,스시키무,"55,000","95,000",병당 3만,02-785-0408,일 휴무,가능,,,,,서울 영등포구 국제금융로 86 롯데캐슬 아이비 지하1층 119호,,,,,,,きむ,,김정우,스시효,,,,,,ㅇ
,,여의도,국회의사당역,스시아이,"49,000","99,000",,02-782-0106,"토, 일 후무",가능,,별관 생김,,통화,서울 영등포구 국회대로76길 18 오성빌딩,http://blog.naver.com/turksreno,,,,,,愛,사랑,,,소주X / 산토리생 1.2,,,,,-
,,여의도,국회의사당역,타마스시,"60,000","120,000",FREE,02-785-1634,일 휴무,가능,,,,,서울 영등포구 은행로 30 1층,,,,,,,たま,,,,,,,,,-
